                                                                                              19 Dec 2024 12:23:25
Satellite-L2Orbit


BarycenterEarthNoomRx (km)    BarycenterEarthNoomRy (km)    BarycenterEarthNoomRz (km)           Time (UTCG)      
--------------------------    --------------------------    --------------------------    ------------------------
             394918.531000                      0.000000                 -66164.292700     5 Dec 2016 00:00:00.000
             394918.590191                     -4.789339                 -66164.290021     5 Dec 2016 00:01:00.000
             394919.078000                    -46.932732                 -66164.035534     5 Dec 2016 00:09:47.914
             394920.808416                   -329.654160                 -66151.621227     5 Dec 2016 01:08:47.333
             394885.855961                  -1784.455166                 -65793.884898     5 Dec 2016 06:11:58.676
             394756.966692                  -3374.170645                 -64832.338013     5 Dec 2016 11:44:56.877
             394529.162854                  -4908.891668                 -63302.741312     5 Dec 2016 17:11:47.693
             394206.044604                  -6339.635691                 -61275.331968     5 Dec 2016 22:25:42.402
             393797.070077                  -7632.007827                 -58842.680316     6 Dec 2016 03:22:06.229
             393326.109413                  -8742.941784                 -56164.852180     6 Dec 2016 07:52:35.390
             392808.676252                  -9677.359098                 -53336.347151     6 Dec 2016 11:58:08.317
             392256.690429                 -10447.796020                 -50424.149130     6 Dec 2016 15:40:52.958
             391680.191019                 -11067.669343                 -47480.896434     6 Dec 2016 19:02:48.042
             391087.483720                 -11550.674635                 -44547.544962     6 Dec 2016 22:05:43.888
             390485.301363                 -11910.337645                 -41655.462806     7 Dec 2016 00:51:23.122
             389879.001702                 -12159.669894                 -38828.263291     7 Dec 2016 03:21:20.781
             389272.761742                 -12310.943881                 -36083.301972     7 Dec 2016 05:37:04.550
             388669.762512                 -12375.557459                 -33432.911170     7 Dec 2016 07:39:55.046
             388072.365355                 -12363.965398                 -30885.445856     7 Dec 2016 09:31:06.069
             387482.261570                 -12285.663577                 -28446.110089     7 Dec 2016 11:11:45.001
             386900.606736                 -12149.207348                 -26117.650470     7 Dec 2016 12:42:53.174
             386328.126865                 -11962.251533                 -23900.887805     7 Dec 2016 14:05:26.334
             385765.210378                 -11731.603606                 -21795.163187     7 Dec 2016 15:20:15.052
             385211.982882                 -11463.284550                 -19798.695931     7 Dec 2016 16:28:05.133
             384668.363255                 -11162.590003                 -17908.857258     7 Dec 2016 17:29:38.038
             384134.116809                 -10834.156214                 -16122.421390     7 Dec 2016 18:25:31.218
             383608.887613                 -10482.018365                 -14435.733427     7 Dec 2016 19:16:18.502
             383092.222714                 -10109.664515                 -12844.845344     7 Dec 2016 20:02:30.446
             382583.600186                  -9720.093001                 -11345.656688     7 Dec 2016 20:44:34.598
             382082.443518                  -9315.860732                  -9934.003918     7 Dec 2016 21:22:55.792
             381588.126863                  -8899.122562                  -8605.719441     7 Dec 2016 21:57:56.435
             381099.992463                  -8471.679250                  -7356.719142     7 Dec 2016 22:29:56.702
             380617.365324                  -8035.023190                  -6183.070309     7 Dec 2016 22:59:14.729
             380139.555496                  -7590.371684                  -5081.019792     7 Dec 2016 23:26:06.834
             379665.878528                  -7138.715155                  -4047.057521     7 Dec 2016 23:50:47.656
             379195.691221                  -6680.879876                  -3077.993772     8 Dec 2016 00:13:30.254
             378728.432624                  -6217.596659                  -2171.019176     8 Dec 2016 00:34:26.211
             378263.685275                  -5749.589620                  -1323.771016     8 Dec 2016 00:53:45.706
             377801.253697                  -5277.682475                   -534.386452     8 Dec 2016 01:11:37.576
             377341.279703                  -4802.943057                    198.437917     8 Dec 2016 01:28:09.332
             376884.264925                  -4326.730201                    875.589262     8 Dec 2016 01:43:27.399
             376431.048231                  -3850.686382                   1497.744683     8 Dec 2016 01:57:37.385
             375982.574316                  -3376.502057                   2065.802931     8 Dec 2016 02:10:44.623
             375545.552256                  -2911.943485                   2574.601278     8 Dec 2016 02:22:45.101
