                                                                                              14 Nov 2024 13:50:52
Satellite-L2Orbit


BarycenterEarthNoomRx (km)    BarycenterEarthNoomRy (km)    BarycenterEarthNoomRz (km)           Time (UTCG)      
--------------------------    --------------------------    --------------------------    ------------------------
             388641.876652                     -0.000000                 -66558.859939     5 Dec 2016 00:00:00.000
             388641.876246                     -4.789301                 -66558.857197     5 Dec 2016 00:01:00.000
             388641.838860                    -46.187864                 -66558.605034     5 Dec 2016 00:09:38.599
             388640.059385                   -319.565923                 -66546.667377     5 Dec 2016 01:06:41.689
             388587.242806                  -1729.729557                 -66201.674292     5 Dec 2016 06:00:52.477
             388432.295017                  -3328.252571                 -65224.993926     5 Dec 2016 11:36:33.250
             388175.881259                  -4859.731034                 -63662.775189     5 Dec 2016 17:04:17.460
             387827.221880                  -6272.911527                 -61599.147288     5 Dec 2016 22:16:40.618
             387409.128084                  -7515.967673                 -59182.544561     6 Dec 2016 03:04:32.446
             386944.864556                  -8574.801173                 -56549.287327     6 Dec 2016 07:25:05.590
             386449.662277                  -9462.603267                 -53782.120859     6 Dec 2016 11:20:45.826
             385935.922770                 -10193.862590                 -50945.107005     6 Dec 2016 14:53:50.114
             385413.661005                 -10783.224731                 -48088.260211     6 Dec 2016 18:06:22.285
             384890.741919                 -11245.096914                 -45250.056403     6 Dec 2016 21:00:16.143
             384373.174030                 -11593.281763                 -42459.658945     6 Dec 2016 23:37:16.346
             383865.396830                 -11840.735974                 -39738.728044     7 Dec 2016 01:58:59.041
             383370.559153                 -11999.426628                 -37102.949161     7 Dec 2016 04:06:52.248
             382890.764249                 -12080.271303                 -34563.251861     7 Dec 2016 06:02:16.358
             382427.285433                 -12093.132688                 -32126.808228     7 Dec 2016 07:46:24.607
             381980.753069                 -12046.851757                 -29797.857387     7 Dec 2016 09:20:23.522
             381551.306382                 -11949.304813                 -27578.347732     7 Dec 2016 10:45:13.439
             381138.717758                 -11807.472733                 -25468.452375     7 Dec 2016 12:01:49.003
             380742.495347                 -11627.515885                 -23466.994551     7 Dec 2016 13:10:59.620
             380361.962749                 -11414.849778                 -21571.778823     7 Dec 2016 14:13:29.912
             379996.324211                 -11174.220034                 -19779.870319     7 Dec 2016 15:10:00.116
             379644.709910                 -10909.770123                 -18087.792867     7 Dec 2016 16:01:06.509
             379306.214491                 -10625.107231                 -16491.709230     7 Dec 2016 16:47:21.754
             378979.918422                 -10323.355839                 -14987.530214     7 Dec 2016 17:29:15.282
             378664.913942                 -10007.216394                 -13571.053534     7 Dec 2016 18:07:13.546
             378360.311248                  -9679.006058                 -12238.015908     7 Dec 2016 18:41:40.359
             378065.249845                  -9340.703177                 -10984.173073     7 Dec 2016 19:12:57.129
             377778.902214                  -8993.983332                  -9805.346390     7 Dec 2016 19:41:23.103
             377500.472443                  -8640.247393                  -8697.449462     7 Dec 2016 20:07:15.600
             377229.202449                  -8280.657967                  -7656.544562     7 Dec 2016 20:30:50.169
             376964.359661                  -7916.150216                  -6678.824461     7 Dec 2016 20:52:20.823
             376705.245115                  -7547.467578                  -5760.672437     7 Dec 2016 21:12:00.141
             376451.189360                  -7175.180626                  -4898.670219     7 Dec 2016 21:29:59.423
             376201.541109                  -6799.692733                  -4089.581657     7 Dec 2016 21:46:28.855
             375955.683416                  -6421.285083                  -3330.424481     7 Dec 2016 22:01:37.550
             375713.032994                  -6040.137234                  -2618.473957     7 Dec 2016 22:15:33.664
             375473.045642                  -5656.355376                  -1951.278751     7 Dec 2016 22:28:24.484
             375235.247669                  -5270.042439                  -1326.733708     7 Dec 2016 22:40:16.440
             374999.265875                  -4881.367573                   -743.116577     7 Dec 2016 22:51:15.149
             374764.871915                  -4490.660140                   -199.127045     7 Dec 2016 23:01:25.440
             374532.035271                  -4098.518360                    306.097292     7 Dec 2016 23:10:51.382
             374300.940772                  -3705.856809                    773.079709     7 Dec 2016 23:19:36.409
             374072.563957                  -3314.907564                   1201.108154     7 Dec 2016 23:27:42.272
             373852.631726                  -2936.095137                   1582.188039     7 Dec 2016 23:35:01.815
             373639.093791                  -2566.469814                   1923.323203     7 Dec 2016 23:41:44.330
             373429.947182                  -2203.002987                   2230.245869     7 Dec 2016 23:47:57.555
             373223.625686                  -1843.311354                   2507.038201     7 Dec 2016 23:53:47.348
             373018.824622                  -1485.391505                   2756.670164     7 Dec 2016 23:59:18.366
             372814.532412                  -1127.700448                   2981.165187     8 Dec 2016 00:04:34.266
             372609.965454                   -769.059337                   3181.859616     8 Dec 2016 00:09:38.004
             372404.789177                   -409.052732                   3359.372424     8 Dec 2016 00:14:31.665
             372199.134235                    -48.064444                   3513.858961     8 Dec 2016 00:19:16.596
             371993.594809                    312.723407                   3645.272883     8 Dec 2016 00:23:53.513
             371788.915039                    671.882975                   3753.760400     8 Dec 2016 00:28:22.963
             371585.593284                   1028.437709                   3839.868273     8 Dec 2016 00:32:45.806
             371383.586974                   1382.379241                   3904.474579     8 Dec 2016 00:37:03.526
             371182.305173                   1734.674822                   3948.505119     8 Dec 2016 00:41:18.194
             370980.732067                   2087.043633                   3972.657263     8 Dec 2016 00:45:32.317
             370777.570296                   2441.698790                   3977.210550     8 Dec 2016 00:49:48.705
             370571.306620                   2801.226047                   3961.913837     8 Dec 2016 00:54:10.462
             370360.204762                   3168.591043                   3925.889083     8 Dec 2016 00:58:41.088
             370142.271897                   3547.192091                   3867.512000     8 Dec 2016 01:03:24.639
             369922.949632                   3927.530672                   3787.460957     8 Dec 2016 01:08:15.560
             369712.070982                   4292.590142                   3690.724452     8 Dec 2016 01:13:01.723
             369507.788118                   4645.648438                   3578.865475     8 Dec 2016 01:17:46.008
             369307.734039                   4990.861200                   3452.300963     8 Dec 2016 01:22:32.101
             369110.099216                   5331.402392                   3310.984542     8 Dec 2016 01:27:23.091
             368913.472963                   5669.746038                   3154.562146     8 Dec 2016 01:32:21.682
             368716.765998                   6007.805725                   2982.493074     8 Dec 2016 01:37:30.289
             368519.043484                   6347.226163                   2794.027527     8 Dec 2016 01:42:51.284
             368319.504275                   6689.422337                   2588.252287     8 Dec 2016 01:48:27.034
             368117.454936                   7035.627209                   2364.115043     8 Dec 2016 01:54:19.949
             367912.271397                   7386.960369                   2120.417701     8 Dec 2016 02:00:32.558
             367703.389425                   7744.447430                   1855.826727     8 Dec 2016 02:07:07.543
             367490.271643                   8109.079581                   1568.844471     8 Dec 2016 02:14:07.824
             367271.850345                   8482.770562                   1256.992927     8 Dec 2016 02:21:37.766
             367047.017701                   8867.523425                    917.341665     8 Dec 2016 02:29:42.412
             366815.540981                   9263.871305                    547.964764     8 Dec 2016 02:38:25.492
             366577.199964                   9672.358481                    146.805211     8 Dec 2016 02:47:51.133
             366331.891022                  10093.367502                   -288.146448     8 Dec 2016 02:58:03.644
             366079.611171                  10527.151517                   -758.846711     8 Dec 2016 03:09:07.546
             365820.472995                  10973.813344                  -1267.138951     8 Dec 2016 03:21:07.519
             365554.670259                  11433.368597                  -1814.786740     8 Dec 2016 03:34:08.475
             365282.500433                  11905.710405                  -2403.399774     8 Dec 2016 03:48:15.473
             365004.304882                  12390.715757                  -3034.535068     8 Dec 2016 04:03:33.880
             364720.465284                  12888.255385                  -3709.698176     8 Dec 2016 04:20:09.391
             364431.372329                  13398.252154                  -4430.417613     8 Dec 2016 04:38:08.160
             364142.924836                  13910.873128                  -5183.563869     8 Dec 2016 04:57:14.291
             363865.055991                  14408.751404                  -5942.108177     8 Dec 2016 05:16:48.969
             363603.108531                  14882.222204                  -6687.740487     8 Dec 2016 05:36:24.222
             363375.060721                  15298.050866                  -7361.760367     8 Dec 2016 05:54:24.603
             363139.232748                  15731.997401                  -8083.912421     8 Dec 2016 06:14:01.491
             362873.785581                  16225.725902                  -8928.412859     8 Dec 2016 06:37:23.619
             362592.342265                  16755.987657                  -9861.919869     8 Dec 2016 07:03:46.497
             362298.048870                  17318.800467                 -10882.038009     8 Dec 2016 07:33:16.468
             361993.484322                  17911.332425                 -11987.740091     8 Dec 2016 08:06:03.136
             361680.527363                  18532.223412                 -13180.205357     8 Dec 2016 08:42:21.220
             361362.076498                  19178.176278                 -14456.326803     8 Dec 2016 09:22:18.818
             361043.896630                  19839.776046                 -15799.526062     8 Dec 2016 10:05:38.262
             360726.592893                  20517.915386                 -17212.755667     8 Dec 2016 10:52:38.797
             360411.048214                  21213.069552                 -18698.062150     8 Dec 2016 11:43:39.776
             360098.216171                  21925.700649                 -20257.343530     8 Dec 2016 12:39:02.307
             359789.124738                  22656.229650                 -21892.252290     8 Dec 2016 13:39:09.342
             359484.875127                  23405.006687                 -23604.081491     8 Dec 2016 14:44:25.761
             359188.716753                  24166.796307                 -25380.722481     8 Dec 2016 15:54:47.176
             358901.795646                  24941.064797                 -27220.088684     8 Dec 2016 17:10:33.022
             358625.155040                  25727.297031                 -29119.732925     8 Dec 2016 18:32:04.396
             358359.785937                  26524.777539                 -31076.276267     8 Dec 2016 19:59:42.946
             358106.589562                  27332.571870                 -33085.281725     8 Dec 2016 21:33:50.762
             357866.338399                  28149.497074                 -35141.088279     8 Dec 2016 23:14:50.156
             357639.630760                  28974.095231                 -37236.637960     9 Dec 2016 01:03:03.399
             357426.841136                  29804.604600                 -39363.280874     9 Dec 2016 02:58:52.351
             357228.065532                  30638.933410                 -41510.569800     9 Dec 2016 05:02:37.982
             357043.061507                  31474.644018                 -43666.064490     9 Dec 2016 07:14:39.809
             356871.187113                  32308.939277                 -45815.129750     9 Dec 2016 09:35:15.135
             356711.340539                  33138.654939                 -47940.742151     9 Dec 2016 12:04:38.032
             356561.901984                  33960.272439                 -50023.357397     9 Dec 2016 14:42:58.132
             356420.687865                  34769.933603                 -52040.813148     9 Dec 2016 17:30:18.914
             356284.923663                  35563.470850                 -53968.344085     9 Dec 2016 20:26:35.469
             356151.252732                  36336.435064                 -55778.729749     9 Dec 2016 23:31:31.291
             356015.795462                  37084.161219                 -57442.775449    10 Dec 2016 02:44:34.397
             355874.319095                  37801.720978                 -58929.953960    10 Dec 2016 06:04:50.143
             355722.564005                  38483.843830                 -60209.731056    10 Dec 2016 09:30:50.944
             355556.859757                  39124.641011                 -61253.768654    10 Dec 2016 13:00:19.026
             355375.338985                  39716.696279                 -62039.381752    10 Dec 2016 16:29:30.923
             355208.378357                  40178.112900                 -62499.239735    10 Dec 2016 19:24:16.406
             355025.226940                  40611.813780                 -62779.982542    10 Dec 2016 22:18:51.522
             354809.846542                  41046.565594                 -62881.902449    11 Dec 2016 01:24:44.302
             354535.673711                  41511.939743                 -62748.608086    11 Dec 2016 04:56:34.646
             354206.534763                  41976.862760                 -62311.487699    11 Dec 2016 08:42:01.591
             353821.814957                  42430.039877                 -61534.512210    11 Dec 2016 12:34:58.437
             353384.096059                  42864.767538                 -60409.426015    11 Dec 2016 16:29:40.380
             352899.023358                  43278.407938                 -58952.515024    11 Dec 2016 20:21:12.838
             352374.673132                  43671.270864                 -57197.911138    12 Dec 2016 00:05:45.406
             351820.561927                  44045.475613                 -55189.638907    12 Dec 2016 03:40:35.467
             351246.833946                  44403.901581                 -52975.255154    12 Dec 2016 07:03:58.555
             350663.661874                  44749.473035                 -50601.684165    12 Dec 2016 10:14:54.947
             350080.787557                  45084.794552                 -48112.714217    12 Dec 2016 13:12:57.982
             349510.613227                  45410.067374                 -45563.337208    12 Dec 2016 15:57:07.244
             348971.217264                  45721.020345                 -43038.483729    12 Dec 2016 18:25:01.847
             348466.720373                  46019.733967                 -40563.554076    12 Dec 2016 20:38:10.296
             347999.384287                  46308.001726                 -38155.094155    12 Dec 2016 22:38:02.192
             347570.401503                  46587.209547                 -35824.691787    13 Dec 2016 00:25:58.569
             347180.107532                  46858.465491                 -33580.145164    13 Dec 2016 02:03:12.351
             346828.154434                  47122.691945                 -31426.312264    13 Dec 2016 03:30:49.108
             346513.665186                  47380.682956                 -29365.792034    13 Dec 2016 04:49:47.736
             346235.360252                  47633.144983                 -27399.420743    13 Dec 2016 06:01:01.181
             345991.674077                  47880.715459                 -25526.721242    13 Dec 2016 07:05:16.955
             345780.845218                  48123.978299                 -23746.215345    13 Dec 2016 08:03:17.714
             345600.992679                  48363.472033                 -22055.685331    13 Dec 2016 08:55:41.741
             345450.176767                  48599.695701                 -20452.373528    13 Dec 2016 09:43:03.396
             345326.448428                  48833.111668                 -18933.149358    13 Dec 2016 10:25:53.503
             345227.886942                  49064.148531                 -17494.636285    13 Dec 2016 11:04:39.710
             345152.628235                  49293.204803                 -16133.305856    13 Dec 2016 11:39:46.822
             345098.886018                  49520.653232                 -14845.547824    13 Dec 2016 12:11:37.103
             345064.967925                  49746.841066                 -13627.748477    13 Dec 2016 12:40:30.511
             345049.284910                  49972.098480                 -12476.309838    13 Dec 2016 13:06:44.974
             345050.358790                  50196.742667                 -11387.688532    13 Dec 2016 13:30:36.594
             345066.826025                  50421.077131                 -10358.447231    13 Dec 2016 13:52:19.805
             345097.439443                  50645.404525                  -9385.235650    13 Dec 2016 14:12:07.595
             345141.069154                  50870.030345                  -8464.815720    13 Dec 2016 14:30:11.643
             345196.700914                  51095.264080                  -7594.089606    13 Dec 2016 14:46:42.436
             345263.438153                  51321.438862                  -6770.055501    13 Dec 2016 15:01:49.451
             345340.496731                  51548.901758                  -5989.876246    13 Dec 2016 15:15:41.193
             345427.208402                  51778.037263                  -5250.823823    13 Dec 2016 15:28:25.360
             345523.015310                  52009.261320                  -4550.331089    13 Dec 2016 15:40:08.880
             345627.471074                  52243.035595                  -3885.972815    13 Dec 2016 15:50:58.016
             345740.242353                  52479.879364                  -3255.461555    13 Dec 2016 16:00:58.446
             345861.098326                  52720.357120                  -2656.709225    13 Dec 2016 16:10:15.276
             345989.902136                  52965.074499                  -2087.850385    13 Dec 2016 16:18:53.090
             346126.581811                  53214.639104                  -1547.332029    13 Dec 2016 16:26:55.938
             346250.601344                  53433.938907                  -1103.529437    13 Dec 2016 16:33:26.551
             346388.733611                  53671.744441                   -653.401618    13 Dec 2016 16:39:58.304
             346528.291511                  53906.360247                   -239.335476    13 Dec 2016 16:45:55.758
             346668.600262                  54137.540992                    141.090506    13 Dec 2016 16:51:22.798
             346810.020397                  54366.604195                    492.476640    13 Dec 2016 16:56:24.840
             346952.966251                  54594.779697                    818.539556    13 Dec 2016 17:01:06.286
             347097.916133                  54823.268581                   1122.326994    13 Dec 2016 17:05:30.808
             347245.335988                  55053.153724                   1406.199445    13 Dec 2016 17:09:41.404
             347395.766256                  55285.560264                   1672.117931    13 Dec 2016 17:13:40.704
             347549.743861                  55521.551140                   1921.563737    13 Dec 2016 17:17:30.944
             347707.752005                  55762.066308                   2155.544940    13 Dec 2016 17:21:13.998
             347870.202707                  56007.910461                   2374.664518    13 Dec 2016 17:24:51.451
             348037.181163                  56259.379937                   2578.906388    13 Dec 2016 17:28:24.359
             348208.344944                  56516.126503                   2767.749137    13 Dec 2016 17:31:53.253
             348382.959625                  56777.220601                   2940.445168    13 Dec 2016 17:35:18.281
             348560.074800                  57041.416091                   3096.360028    13 Dec 2016 17:38:39.450
             348738.947215                  57307.775015                   3235.356493    13 Dec 2016 17:41:57.070
             348919.450619                  57576.267985                   3357.914648    13 Dec 2016 17:45:12.116
             349102.032905                  57847.705084                   3464.802593    13 Dec 2016 17:48:26.102
             349287.563515                  58123.510290                   3556.760531    13 Dec 2016 17:51:40.898
             349477.369722                  58405.781776                   3634.358065    13 Dec 2016 17:54:58.790
             349673.149300                  58697.170954                   3697.807154    13 Dec 2016 17:58:22.437
             349877.178102                  59001.203474                   3746.878395    13 Dec 2016 18:01:55.162
             350085.922464                  59312.753230                   3779.934798    13 Dec 2016 18:05:34.321
             350293.233362                  59622.744023                   3796.393767    13 Dec 2016 18:09:14.410
             350498.077442                  59929.687967                   3797.342320    13 Dec 2016 18:12:55.079
             350701.002442                  60234.444514                   3783.901635    13 Dec 2016 18:16:37.538
             350903.076452                  60538.651131                   3756.861377    13 Dec 2016 18:20:23.528
             351105.381829                  60843.971883                   3716.660303    13 Dec 2016 18:24:14.833
             351308.959696                  61152.016586                   3663.432905    13 Dec 2016 18:28:13.254
             351514.747212                  61464.246929                   3597.070721    13 Dec 2016 18:32:20.560
             351723.663373                  61782.106647                   3517.237425    13 Dec 2016 18:36:38.608
             351936.496452                  62106.850188                   3423.440784    13 Dec 2016 18:41:09.221
             352154.113292                  62439.860966                   3314.970258    13 Dec 2016 18:45:54.466
             352377.263891                  62782.353089                   3190.995939    13 Dec 2016 18:50:56.425
             352606.781712                  63135.677130                   3050.479350    13 Dec 2016 18:56:17.478
             352843.517881                  63501.219593                   2892.200398    13 Dec 2016 19:02:00.250
             353088.219076                  63880.212618                   2714.848522    13 Dec 2016 19:08:07.456
             353342.536398                  64275.299337                   2516.239944    13 Dec 2016 19:14:43.500
             353608.587792                  64689.869679                   2293.445455    13 Dec 2016 19:21:54.064
             353887.257336                  65125.405221                   2044.228611    13 Dec 2016 19:29:43.414
             354179.428862                  65583.380888                   1766.191866    13 Dec 2016 19:38:16.257
             354485.918196                  66065.151232                   1456.854646    13 Dec 2016 19:47:37.654
             354807.536700                  66572.039841                   1113.613908    13 Dec 2016 19:57:53.155
             355142.156410                  67100.686511                    737.145694    13 Dec 2016 20:09:02.824
             355485.270679                  67643.877512                    331.583391    13 Dec 2016 20:21:01.068
             355837.847336                  68202.983974                   -104.767216    13 Dec 2016 20:33:52.932
             356200.765563                  68779.194615                   -573.612652    13 Dec 2016 20:47:43.672
             356574.915624                  69373.662462                  -1076.765395    13 Dec 2016 21:02:38.971
             356961.234468                  69987.549157                  -1616.176976    13 Dec 2016 21:18:45.048
             357360.690497                  70621.986848                  -2193.904693    13 Dec 2016 21:36:08.652
             357774.318009                  71278.116426                  -2812.145924    13 Dec 2016 21:54:57.181
             358203.209167                  71957.055843                  -3473.212081    13 Dec 2016 22:15:18.698
             358648.514003                  72659.877733                  -4179.508436    13 Dec 2016 22:37:21.961
             359111.508368                  73387.691353                  -4933.621129    13 Dec 2016 23:01:16.662
             359593.495761                  74141.457858                  -5738.134009    13 Dec 2016 23:27:13.164
             360095.992348                  74922.245831                  -6595.904105    13 Dec 2016 23:55:23.123
             360620.560296                  75730.929745                  -7509.750922    14 Dec 2016 00:25:58.994
             361168.936737                  76568.345419                  -8482.630826    14 Dec 2016 00:59:14.484
             361743.019166                  77435.212666                  -9517.565273    14 Dec 2016 01:35:24.543
             362344.920053                  78332.155864                 -10617.681676    14 Dec 2016 02:14:45.601
             362976.941871                  79259.594200                 -11786.100287    14 Dec 2016 02:57:35.500
             363641.648452                  80217.766291                 -13025.983858    14 Dec 2016 03:44:13.791
             364341.848875                  81206.612565                 -14340.412959    14 Dec 2016 04:35:01.674
             365080.679495                  82225.786739                 -15732.428155    14 Dec 2016 05:30:22.337
             365861.621946                  83274.558002                 -17204.935548    14 Dec 2016 06:30:41.023
             366688.518784                  84351.696341                 -18760.586615    14 Dec 2016 07:36:25.054
             367540.635927                  85424.511055                 -20355.120621    14 Dec 2016 08:45:59.976
             368179.337217                  86203.265515                 -21541.947118    14 Dec 2016 09:39:16.609
             368804.590993                  86944.211181                 -22695.084787    14 Dec 2016 10:32:17.271
             369695.135257                  87962.532509                 -24319.942881    14 Dec 2016 11:49:07.620
             370698.753816                  89057.632035                 -26122.599425    14 Dec 2016 13:17:24.584
             371828.317119                  90223.406734                 -28110.529596    14 Dec 2016 14:58:38.195
             373050.611353                  91405.585756                 -30207.781118    14 Dec 2016 16:50:04.344
             374361.324903                  92582.746416                 -32389.742581    14 Dec 2016 18:51:23.839
             375769.637510                  93745.081167                 -34652.713538    14 Dec 2016 21:03:28.277
             377284.975075                  94880.193650                 -36990.077958    14 Dec 2016 23:27:09.014
             378917.618212                  95973.401132                 -39392.983234    15 Dec 2016 02:03:20.304
             380678.424297                  97007.275514                 -41849.585737    15 Dec 2016 04:52:57.588
             382578.837396                  97961.458019                 -44344.810656    15 Dec 2016 07:56:57.534
             384630.678035                  98812.384491                 -46859.874119    15 Dec 2016 11:16:17.007
             386855.704521                  99535.846663                 -49382.564055    15 Dec 2016 14:52:49.384
             389281.077836                 100101.562309                 -51897.956751    15 Dec 2016 18:48:58.861
             391924.452355                 100469.009761                 -54372.157022    15 Dec 2016 23:06:14.043
