                                                                                              19 Dec 2024 13:01:05
Satellite-L2Orbit


BarycenterEarthNoomRx (km)    BarycenterEarthNoomRy (km)    BarycenterEarthNoomRz (km)           Time (UTCG)      
--------------------------    --------------------------    --------------------------    ------------------------
             394918.531000                      0.000000                 -66164.292700     5 Dec 2016 00:00:00.000
             394918.590223                     -4.789419                 -66164.290032     5 Dec 2016 00:01:00.000
             394919.141521                    -52.474352                 -66163.972669     5 Dec 2016 00:10:57.205
             394921.065930                   -409.348295                 -66144.894636     5 Dec 2016 01:25:17.314
             394908.997666                  -1303.017894                 -65969.217867     5 Dec 2016 04:30:29.864
             394804.172822                  -3169.884326                 -65014.172838     5 Dec 2016 10:56:20.277
             394612.378827                  -4799.295977                 -63498.225392     5 Dec 2016 16:37:37.999
             394345.617467                  -6222.099211                 -61582.771853     5 Dec 2016 21:44:47.415
             394012.809065                  -7456.773076                 -59383.614269     6 Dec 2016 02:22:58.821
             393577.000869                  -8630.564119                 -56710.175754     6 Dec 2016 07:02:43.034
             393140.018121                  -9520.893207                 -54186.063291     6 Dec 2016 10:49:37.594
             392615.934623                 -10350.102799                 -51300.156085     6 Dec 2016 14:38:30.899
             392122.209639                 -10962.898218                 -48684.647954     6 Dec 2016 17:44:49.682
             391557.353766                 -11511.908461                 -45787.962070     6 Dec 2016 20:52:47.074
             390981.739406                 -11936.182753                 -42924.684105     6 Dec 2016 23:43:01.896
             390405.008444                 -12246.007953                 -40136.805377     7 Dec 2016 02:16:18.915
             389827.756043                 -12455.653956                 -37423.898595     7 Dec 2016 04:35:15.558
             389255.186448                 -12575.505504                 -34808.785987     7 Dec 2016 06:40:45.646
             388687.247739                 -12616.527452                 -32290.048434     7 Dec 2016 08:34:35.395
             388128.965306                 -12588.421802                 -29888.457924     7 Dec 2016 10:17:14.243
             387575.467200                 -12499.628508                 -27581.695927     7 Dec 2016 11:50:49.349
             387029.565915                 -12357.830919                 -25380.498656     7 Dec 2016 13:15:50.639
             386490.442640                 -12169.490727                 -23280.031709     7 Dec 2016 14:33:17.851
             385958.517260                 -11940.628131                 -21280.289217     7 Dec 2016 15:43:51.991
             385431.678895                 -11675.401909                 -19371.842722     7 Dec 2016 16:48:27.485
             384911.656274                 -11379.195544                 -17559.345761     7 Dec 2016 17:47:24.625
             384399.649028                 -11057.032178                 -15844.586900     7 Dec 2016 18:41:07.054
             383885.729703                 -10705.880789                 -14193.539361     7 Dec 2016 19:30:59.788
             383383.648676                 -10338.336269                 -12648.652207     7 Dec 2016 20:16:05.643
             382883.062483                  -9950.003435                 -11175.527470     7 Dec 2016 20:57:43.591
             382388.240928                  -9546.681625                  -9785.250340     7 Dec 2016 21:35:49.974
             381896.765497                  -9128.786666                  -8469.044032     7 Dec 2016 22:10:53.310
             381412.850032                  -8702.150754                  -7235.755572     7 Dec 2016 22:42:52.362
             380939.279066                  -8271.553846                  -6088.631875     7 Dec 2016 23:11:54.574
             380458.972649                  -7823.016899                  -4985.094835     7 Dec 2016 23:39:14.017
             379988.324181                  -7373.224440                  -3961.657903     8 Dec 2016 00:04:04.830
             379520.779561                  -6917.482302                  -3001.043390     8 Dec 2016 00:27:00.772
             379047.771718                  -6448.453593                  -2085.303650     8 Dec 2016 00:48:34.265
             378585.326697                  -5983.125782                  -1243.748508     8 Dec 2016 01:08:10.451
             378129.841293                  -5519.110780                   -465.957679     8 Dec 2016 01:26:10.221
             377679.946958                  -5056.002243                    253.347948     8 Dec 2016 01:42:46.211
             377234.708955                  -4593.668457                    918.173858     8 Dec 2016 01:58:08.560
             376802.036839                  -4141.124974                   1520.225537     8 Dec 2016 02:12:09.585
             376373.371211                  -3690.102990                   2074.718066     8 Dec 2016 02:25:13.699
