DefaultSC.EMInert.X       DefaultSC.EMInert.Y       DefaultSC.EMInert.Z       DefaultSC.UTCModJulian    
-4059.831646909255        11038.16135603828         -3297.518691103004        57727                     
-4060.23915572585         11580.28744757348         -3532.856671403867        57727.00069444445         
-4060.759250858863        12251.7354611609          -3824.344906819488        57727.00158095954         
-4061.337534942126        12974.9214203288          -4138.306963785872        57727.00256693504         
-4061.983905454942        13758.12148518339         -4478.338289637459        57727.00366934125         
-4062.706547135725        14606.66843337103         -4846.756986996093        57727.00490225861         
-4063.514760891263        15526.54818485411         -5246.165169183218        57727.00628170704         
-4064.41907356377         16524.42268941951         -5679.458969825972        57727.00782584328         
-4065.431292473814        17607.59055580969         -6149.811521291635        57727.0095550663          
-4066.564749265062        18784.14969982805         -6660.74365973343         57727.01149244919         
-4067.834445416661        20063.0368649309          -7216.141178482198        57727.01366400735         
-4069.256094025347        21453.00029209179         -7819.808736676095        57727.01609708191         
-4070.844644860091        22961.27115171565         -8474.892782958415        57727.01881783475         
-4072.619600305354        24598.64947867087         -9186.090505240829        57727.02186037917         
-4074.602937268052        26377.22363737262         -9958.659601158814        57727.02526327121         
-4076.819278051405        28310.39569622918         -10798.42943922984        57727.0290698563          
-4079.296191699102        30413.02384308711         -11711.86306781991        57727.03332885278         
-4082.064442920522        32701.51463601126         -12706.09744642225        57727.03809486121         
-4085.158562409073        35194.17474037629         -13789.09642882101        57727.04342944722         
-4088.617215849479        37911.3758167062          -14969.72260454589        57727.04940190409         
-4092.483502493591        40875.66782691909         -16257.78674311266        57727.05608992357         
-4096.805936301991        44112.41191360154         -17664.32303386668        57727.06358148542         
-4101.638588151985        47649.75637977238         -19201.57892909165        57727.07197534459         
-4107.041819228506        51519.07687151503         -20883.20671917539        57727.08138259644         
-4113.083636237827        55755.84172061723         -22724.63995250731        57727.09192940063         
-4119.839808810918        60399.589093981           -24743.08389861037        57727.10375763976         
-4127.394755124806        65494.48783245499         -26957.75971003989        57727.11702701391         
-4135.843649319842        71090.7155512562          -29390.50392571642        57727.1319194179          
-4145.292650347724        77244.57225726555         -32065.81842059057        57727.14864018709         
-4155.860429034861        84019.51446306976         -35011.32053927761        57727.16742180762         
-4167.679131656256        91486.85950876899         -38258.04994445333        57727.18852685512         
-4180.896825932771        99727.4812521745          -41841.20658718917        57727.21225384444         
-4195.680103413666        108833.6218690304         -45800.93935393228        57727.23894373037         
-4212.213477675694        118908.8110784328         -50182.31185285566        57727.26898100697         
-4229.301671575993        129227.839952344          -54669.97241621215        57727.30023100697         
-4246.279182459662        139406.4832072749         -59096.80314004059        57727.33148100697         
-4263.15007391779         149464.9480357625         -63471.5631270769         57727.36273100697         
-4279.918191399225        159419.1952535475         -67801.17055861185        57727.39398100697         
-4296.58718023962         169282.0787286919         -72091.19668864553        57727.42523100697         
-4313.160501128792        179064.1210660303         -76346.20213650048        57727.45648100697         
-4329.64144361149         188774.0579096592         -80569.97286396311        57727.48773100697         
-4346.033138053947        198419.2298489388         -84765.69008122495        57727.51898100697         
-4362.338566274601        208005.8709257305         -88936.05532453443        57727.55023100697         
-4378.560571164119        217539.3251639328         -93083.38432826636        57727.58148100697         
-4394.701865369955        227024.2118595792         -97209.67868239213        57727.61273100697         
-4410.765039211604        236464.553667735          -101316.6813607794        57727.64398100697         
-4426.7525679593          245863.8772000654         -105405.9203317841        57727.67523100697         
-4442.666818497195        255225.2929901495         -109478.7432239413        57727.70648100697         
-4458.510055471206        264551.5597533046         -113536.3451827653        57727.73773100697         
-4474.284447007057        273845.13653786           -117579.7914781272        57727.76898100697         
-4489.992069986642        283108.2254323948         -121610.0360173317        57727.80023100697         
-4505.634914954226        292342.8068286586         -125627.9366308889        57727.83148100697         
-4521.214890715053        301550.6687592409         -129634.2677895877        57727.86273100697         
-4536.733828599532        310733.4314769545         -133629.7312587363        57727.89398100697         
-4552.193486449183        319892.568181299          -137614.965082109         57727.92523100697         
-4567.595552377048        329029.4226011707         -141590.5512030835        57727.95648100697         
